iter	Passed	Remaining
0	2	2705
1	6	3319
2	10	3456
3	13	3262
4	15	3070
5	17	2937
6	20	2895
7	23	2882
8	25	2765
9	27	2718
10	29	2680
11	31	2633
12	33	2537
13	36	2550
14	39	2584
15	41	2564
16	43	2537
17	46	2522
18	48	2508
19	51	2500
20	54	2519
21	56	2509
22	58	2493
23	61	2485
24	63	2470
25	65	2468
26	68	2477
27	71	2483
28	73	2472
29	76	2465
30	78	2453
31	80	2443
32	83	2452
33	86	2452
34	88	2440
35	90	2431
36	93	2421
37	95	2414
38	97	2412
39	100	2412
40	102	2403
41	105	2398
42	107	2387
43	109	2384
44	112	2379
45	115	2388
46	117	2383
47	119	2377
48	122	2369
49	124	2365
50	126	2357
51	129	2354
52	131	2358
53	134	2352
54	136	2348
55	138	2341
56	141	2334
57	143	2327
58	145	2322
59	147	2317
60	150	2312
61	152	2307
62	154	2300
63	156	2293
64	158	2286
65	161	2281
66	163	2277
67	165	2269
68	167	2263
69	169	2256
70	171	2249
71	174	2243
72	176	2239
73	178	2237
74	181	2233
75	183	2227
76	185	2221
77	187	2215
78	189	2211
79	192	2210
80	194	2208
81	196	2203
82	199	2201
83	201	2200
84	203	2195
85	206	2190
86	208	2189
87	211	2187
88	213	2181
89	215	2177
90	217	2171
91	219	2166
92	221	2162
93	224	2161
94	226	2160
95	229	2157
96	231	2153
97	233	2149
98	235	2144
99	237	2141
100	240	2138
101	242	2136
102	244	2132
103	247	2129
104	249	2125
105	251	2121
106	253	2118
107	256	2116
108	258	2113
109	260	2111
110	263	2108
111	265	2105
112	267	2102
113	270	2100
114	272	2096
115	274	2094
116	277	2091
117	279	2088
118	281	2084
119	283	2081
120	286	2078
121	288	2077
122	290	2074
123	293	2070
124	295	2067
125	297	2064
126	299	2060
127	302	2057
128	304	2057
129	307	2055
130	309	2051
131	311	2048
132	313	2045
133	316	2043
134	318	2040
135	320	2037
136	322	2034
137	325	2031
138	327	2028
139	329	2025
140	332	2022
141	334	2019
142	336	2017
143	338	2013
144	341	2011
145	343	2007
146	345	2004
147	347	2001
148	349	1997
149	352	1996
150	354	1993
151	356	1990
152	359	1987
153	361	1985
154	363	1982
155	366	1980
156	368	1978
157	370	1975
158	372	1972
159	375	1969
160	377	1966
161	379	1963
162	381	1960
163	384	1959
164	386	1956
165	388	1953
166	390	1949
167	392	1946
168	395	1945
169	398	1944
170	400	1943
171	403	1943
172	406	1941
173	408	1937
174	410	1936
175	413	1933
176	415	1932
177	417	1929
178	419	1926
179	422	1922
180	424	1919
181	426	1915
182	428	1912
183	430	1909
184	432	1907
185	435	1903
186	437	1902
187	439	1899
188	441	1896
189	444	1894
190	446	1892
191	449	1889
192	451	1886
193	453	1883
194	455	1881
195	458	1880
196	460	1878
197	463	1877
198	465	1875
199	468	1872
200	470	1870
201	472	1867
202	475	1865
203	477	1864
204	480	1863
205	483	1862
206	485	1860
207	487	1858
208	490	1856
209	492	1853
210	496	1855
211	499	1857
212	501	1854
213	503	1850
214	506	1848
215	508	1845
216	511	1844
217	513	1842
218	516	1842
219	519	1840
220	521	1838
221	523	1835
222	526	1835
223	529	1833
224	532	1832
225	534	1829
226	536	1826
227	538	1823
228	540	1821
229	543	1818
230	545	1816
231	547	1814
232	550	1811
233	552	1808
234	554	1805
235	557	1803
236	560	1803
237	562	1800
238	564	1798
239	567	1797
240	569	1794
241	572	1792
242	574	1790
243	577	1788
244	579	1786
245	581	1783
246	584	1780
247	586	1777
248	588	1775
249	590	1772
250	594	1772
251	596	1770
252	598	1767
253	600	1764
254	603	1763
255	606	1761
256	608	1759
257	610	1756
258	613	1754
259	615	1751
260	617	1749
261	620	1747
262	622	1744
263	624	1742
264	628	1742
265	630	1740
266	633	1738
267	635	1736
268	638	1733
269	640	1731
270	642	1728
271	644	1725
272	647	1723
273	649	1721
274	652	1719
275	654	1717
276	657	1715
277	659	1712
278	662	1710
279	664	1708
280	667	1707
281	669	1704
282	671	1702
283	674	1701
284	677	1698
285	679	1695
286	681	1693
287	684	1691
288	686	1688
289	688	1686
290	691	1684
291	693	1682
292	696	1680
293	698	1678
294	701	1675
295	703	1672
296	705	1669
297	707	1666
298	709	1664
299	712	1661
300	713	1656
301	716	1656
302	718	1653
303	720	1650
304	723	1647
305	725	1645
306	727	1642
307	730	1640
308	732	1637
309	734	1634
310	736	1632
311	738	1629
312	741	1626
313	743	1623
314	745	1621
315	747	1618
316	750	1617
317	753	1615
318	755	1612
319	758	1611
320	760	1608
321	762	1606
322	765	1603
323	767	1601
324	769	1598
325	771	1595
326	774	1593
327	776	1590
328	779	1588
329	781	1586
330	783	1584
331	786	1582
332	789	1580
333	792	1579
334	794	1578
335	797	1575
336	799	1573
337	802	1571
338	804	1568
339	806	1566
340	809	1563
341	811	1561
342	813	1558
343	816	1556
344	819	1555
345	821	1553
346	824	1550
347	826	1548
348	828	1545
349	830	1542
350	833	1540
351	835	1538
352	837	1535
353	840	1533
354	842	1530
355	844	1527
356	846	1525
357	849	1522
358	851	1520
359	853	1517
360	855	1514
361	858	1512
362	860	1509
363	862	1507
364	864	1504
365	867	1501
366	869	1499
367	871	1496
368	874	1494
369	876	1491
370	878	1489
371	880	1486
372	882	1483
373	884	1481
374	886	1478
375	889	1475
376	890	1472
377	893	1470
378	895	1468
379	898	1465
380	900	1462
381	902	1459
382	904	1456
383	906	1453
384	908	1451
385	910	1448
386	912	1445
387	914	1442
388	916	1440
389	918	1437
390	921	1435
391	923	1432
392	925	1430
393	928	1427
394	930	1424
395	932	1422
396	934	1419
397	937	1417
398	939	1414
399	941	1412
400	943	1409
401	945	1406
402	948	1404
403	950	1402
404	952	1399
405	955	1397
406	957	1395
407	959	1392
408	962	1390
409	964	1387
410	966	1384
411	969	1383
412	971	1380
413	973	1377
414	975	1375
415	977	1372
416	979	1369
417	981	1366
418	983	1364
419	985	1361
420	987	1358
421	990	1356
422	993	1354
423	995	1352
424	997	1349
425	999	1347
426	1001	1344
427	1003	1341
428	1006	1339
429	1008	1336
430	1010	1334
431	1013	1332
432	1015	1329
433	1017	1326
434	1019	1323
435	1021	1321
436	1023	1319
437	1025	1316
438	1028	1314
439	1031	1312
440	1033	1309
441	1035	1307
442	1037	1304
443	1039	1301
444	1041	1299
445	1044	1297
446	1046	1294
447	1048	1292
448	1051	1290
449	1053	1287
450	1055	1284
451	1057	1282
452	1059	1279
453	1061	1276
454	1063	1274
455	1065	1271
456	1067	1268
457	1070	1266
458	1072	1263
459	1074	1260
460	1076	1258
461	1078	1256
462	1080	1253
463	1082	1250
464	1084	1248
465	1086	1245
466	1088	1242
467	1090	1239
468	1093	1238
469	1095	1235
470	1098	1234
471	1100	1231
472	1103	1228
473	1105	1226
474	1107	1224
475	1109	1221
476	1112	1219
477	1114	1217
478	1116	1214
479	1119	1212
480	1121	1209
481	1123	1207
482	1125	1204
483	1128	1202
484	1130	1200
485	1132	1197
486	1134	1194
487	1136	1192
488	1138	1189
